Date,Expiry,Entry_Spot,ATM_Strike,Premium_Received,Premium_Paid_To_Close,Lot_Size,Expiry_PnL,Regime
2022-08-22,2022-08-25,37450.0,37400,-316.4,7.8,25,-8105.0,Unknown
2022-08-29,2022-09-01,37800.0,37800,365.65,106.55,25,6477.5,Unknown
2022-09-05,2022-09-08,38100.0,38100,16.0,-120.35,25,3408.75,Sideways
2022-09-12,2022-09-15,38500.0,38500,632.85,237.5,25,9883.75,Sideways
2022-09-19,2022-09-22,39000.0,39000,-123.6,-108.8,25,-370.0,Sideways
2022-09-26,2022-09-29,39100.0,39100,-85.8,1025.45,25,-27781.25,Sideways
2022-10-03,2022-10-06,39000.0,39000,-723.25,-409.3,25,-7848.75,Trending Up
2022-10-10,2022-10-13,39100.0,39100,-234.05,78.55,25,-7815.0,Trending Up
2022-10-17,2022-10-20,39000.0,39000,-1023.7,479.8,25,-37587.5,Trending Up
2022-10-24,2022-10-27,39000.0,39000,-15.0,137.25,25,-3806.25,Trending Up
2022-10-31,2022-11-03,39500.0,39500,-69.1,166.45,25,-5888.75,Trending Up
2022-11-07,2022-11-10,39600.0,39600,248.1,193.1,25,1375.0,Trending Up
2022-11-21,2022-11-24,40700.0,40700,80.35,-7250.5,25,183271.25,Trending Up
2022-11-28,2022-12-01,41400.0,41400,219.3,62.7,25,3915.0,Trending Up
2022-12-05,2022-12-08,41900.0,41900,-689.95,273.8,25,-24093.75,Sideways
2022-12-12,2022-12-15,42300.0,42300,73.35,96.15,25,-570.0,Sideways
2022-12-19,2022-12-22,42600.0,42600,-22.2,75.55,25,-2443.75,Sideways
2022-12-26,2022-12-29,42000.0,42000,113.25,-419.25,25,13312.5,Sideways
2023-01-02,2023-01-05,42500.0,42500,477.7,-1609.45,25,52178.75,Unknown
2023-01-09,2023-01-12,42400.0,42400,80.7,-19.45,25,2503.75,Unknown
2023-01-16,2023-01-19,42300.0,42300,81.55,-131.6,25,5328.75,Unknown
2023-01-30,2023-02-02,41700.0,41700,453.05,25.9,25,10678.75,Unknown
2023-02-06,2023-02-09,41300.0,41300,110.4,446.75,25,-8408.75,Unknown
2023-02-13,2023-02-16,41300.0,41300,1294.45,84.85,25,30240.0,Unknown
2023-02-20,2023-02-23,41300.0,41300,151.7,83.5,25,1705.0,Unknown
2023-02-27,2023-03-02,40800.0,40800,222.35,74.85,25,3687.5,Unknown
2023-03-06,2023-03-09,40900.0,40900,-71.8,-335.0,25,6580.0,Unknown
